GPU ID,Model Name,Release Date,Release Year,Launch Price (USD),Memory (GB),Memory Type,Architecture,CUDA Cores,RT Cores,Tensor Cores,Base Clock (MHz),Boost Clock (MHz),TDP (W)
1,GeForce RTX 2080 Ti,2018-09-20,2018,999,11,GDDR6,Turing (TU102),4352,68,544,1350,1545,250
2,GeForce RTX 2080,2018-09-20,2018,699,8,GDDR6,Turing (TU104),2944,46,368,1515,1710,215
3,GeForce RTX 2070,2018-10-17,2018,499,8,GDDR6,Turing (TU106),2304,36,288,1410,1620,175
4,TITAN RTX,2018-12-18,2018,2499,24,GDDR6,Turing (TU102),4608,72,576,1350,1770,280
5,GeForce RTX 2060,2019-01-15,2019,349,6,GDDR6,Turing (TU106),1920,30,240,1365,1680,160
6,GeForce GTX 1660 Ti,2019-02-22,2019,279,6,GDDR6,Turing (TU116),1536,0,0,1500,1770,120
7,GeForce GTX 1660,2019-03-14,2019,219,6,GDDR5,Turing (TU116),1408,0,0,1530,1785,120
8,GeForce GTX 1650,2019-04-23,2019,149,4,GDDR5,Turing (TU117),896,0,0,1485,1665,75
9,GeForce RTX 2060 SUPER,2019-07-09,2019,399,8,GDDR6,Turing (TU106),2176,34,272,1470,1650,175
10,GeForce RTX 2070 SUPER,2019-07-09,2019,499,8,GDDR6,Turing (TU104),2560,40,320,1605,1770,215
11,GeForce RTX 2080 SUPER,2019-07-23,2019,699,8,GDDR6,Turing (TU104),3072,48,384,1650,1815,250
12,GeForce GTX 1660 SUPER,2019-10-29,2019,229,6,GDDR6,Turing (TU116),1408,0,0,1530,1785,125
13,GeForce GTX 1650 SUPER,2019-11-22,2019,159,4,GDDR6,Turing (TU116),1280,0,0,1530,1725,100
14,GeForce RTX 3080,2020-09-17,2020,699,10,GDDR6X,Ampere (GA102),8704,68,272,1440,1710,320
15,GeForce RTX 3090,2020-09-24,2020,1499,24,GDDR6X,Ampere (GA102),10496,82,328,1395,1695,350
16,GeForce RTX 3070,2020-10-29,2020,499,8,GDDR6,Ampere (GA104),5888,46,184,1500,1725,220
17,GeForce RTX 3060,2021-02-25,2021,329,12,GDDR6,Ampere (GA106),3584,28,112,1320,1777,170
18,GeForce RTX 3080 Ti,2021-06-03,2021,1199,12,GDDR6X,Ampere (GA102),10240,80,320,1365,1665,350
19,GeForce RTX 3070 Ti,2021-06-10,2021,599,8,GDDR6X,Ampere (GA104),6144,48,192,1575,1770,290
20,GeForce RTX 3050,2022-01-27,2022,249,8,GDDR6,Ampere (GA106),2560,20,80,1552,1777,130
21,GeForce RTX 3090 Ti,2022-03-29,2022,1999,24,GDDR6X,Ampere (GA102),10752,84,336,1560,1860,450
22,GeForce RTX 4090,2022-10-12,2022,1599,24,GDDR6X,Ada Lovelace (AD102),16384,128,512,2235,2520,450
23,GeForce RTX 4080 (16 GB),2022-11-16,2022,1199,16,GDDR6X,Ada Lovelace (AD103),9728,76,304,2205,2505,320
24,GeForce RTX 4070 Ti,2023-01-05,2023,799,12,GDDR6X,Ada Lovelace (AD104),7680,60,240,2310,2610,285
25,GeForce RTX 4070,2023-04-13,2023,599,12,GDDR6X,Ada Lovelace (AD104),5888,46,184,1920,2475,200
26,GeForce RTX 4060 Ti (8 GB),2023-05-24,2023,399,8,GDDR6,Ada Lovelace (AD106),4352,34,136,2310,2535,160
27,GeForce RTX 4060,2023-06-29,2023,299,8,GDDR6,Ada Lovelace (AD107),3072,24,96,1830,2460,115
28,GeForce RTX 4060 Ti (16 GB),2023-07-18,2023,499,16,GDDR6,Ada Lovelace (AD106),4352,34,136,2310,2535,165
29,GeForce RTX 4070 SUPER,2024-01-17,2024,599,12,GDDR6X,Ada Lovelace (AD104),7168,56,224,1980,2475,220
30,GeForce RTX 4070 Ti SUPER,2024-01-24,2024,799,16,GDDR6X,Ada Lovelace (AD103),8448,66,264,2340,2610,285
31,GeForce RTX 4080 SUPER,2024-01-31,2024,999,16,GDDR6X,Ada Lovelace (AD103),10240,80,320,2295,2550,320
32,GeForce RTX 5090,2025-01-30,2025,1999,32,GDDR7,Blackwell (GB202),21760,170,680,2010,2410,575
33,GeForce RTX 5080,2025-01-30,2025,999,16,GDDR7,Blackwell (GB203),10752,84,336,2300,2620,360
34,GeForce RTX 5070 Ti,2025-02-20,2025,749,16,GDDR7,Blackwell (GB203),8960,70,280,2300,2450,300
35,GeForce RTX 5070,2025-03-05,2025,549,12,GDDR7,Blackwell (GB205),6144,48,192,2160,2510,250
36,GeForce RTX 5060 Ti (16 GB),2025-04-16,2025,429,16,GDDR7,Blackwell (GB206),4608,36,144,2407,2572,180
37,GeForce RTX 5060 Ti (8 GB),2025-04-16,2025,379,8,GDDR7,Blackwell (GB206),4608,36,144,2407,2572,180
38,GeForce RTX 5060,2025-05-19,2025,299,8,GDDR7,Blackwell (GB206),3840,30,120,2280,2500,145
39,GeForce RTX 5050,2025-07-01,2025,249,8,GDDR6,Blackwell (GB207),2560,20,80,2310,2570,130
